title,company,description
Software QA Automation Engineer,IntraEdge,"We are looking for highly talented, self-motivated entry level engineers, great team player with passion for high quality products.

-More than 1+ years of work experience in software development and Content management system
-Well versed with all phases of SDLC with a passion towards high quality products
-Entry level Java developer with understanding of data structures, design patterns and web services
-Good system level Debugging skills
-experience with splunk and log management


The engineer should be having IT or CS Engineering background."
iOS Engineer,MIRROR,"About Us

Mirror is a stealth fit-tech startup founded by Brynn Putnam, an established leader in the NYC boutique fitness space. Our team of experienced engineers are building a hybrid hardware/software product that will bring revolutionary, personalized fitness content directly to homes across the country and world. We’re creating a workout experience that’s not only better than existing at-home solutions, but better than boutique studio workouts. Our technology offers improved efficiency, engagement, and effectiveness, which means more time, more fun, and better results for busy people everywhere.

Mirror HQ is located in Manhattan’s iconic Nomad District. We currently have top tier venture backers who are passionate about the product we’re launching this year and even more excited about our long-term vision for the company. We’re an inclusive space for all identities and are committed to keeping that foundation intact as we grow. We believe in high standards beginning at the interview process and continuing as a valued member of the team. If you can’t wait to get behind our mission, we want to hear more from you!

The Role & You

We're looking for an iOS Engineer who wants to push mobile technologies to the limits and do it in an early stage startup environment. At Mirror, you will:
Implement and maintain features in our user-facing iOS app
Communicate with our embedded device remotely
Have an impactful role helping to perfect our product experience
You don’t need to be a fitness buff, but you should be fired up about building technology that's going to change how people sweat! Do we have your attention? Keep reading.

Requirements

The Necessities
Mid to senior level expertise in building iOS applications and services
Have worked on at least one original published iOS app
Knowledge of version control (we use git).
Solid understanding of the full mobile development life cycle
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies
Self-starter mentality and collaborative product development approach
Experience interfacing with web backends via REST APIs
The Extras
Bachelor's or Master's degree in Computer Science or equivalent experience
Experience with WebRTC and/or Video Streaming on iOS
Experience working on embedded hardware and/or interfacing with IoT devices
Background working with Bluetooth and WiFi API’s on iOS
Benefits

We’re an early stage startup with lots of exciting milestones ahead. We value health and wellness at MIRROR and, as such, offer competitive health coverage, an open vacation policy, and 401k."
Senior Software Engineer - Android,Squarespace,"Squarespace is seeking a Senior Software Engineer - Android to join our small, collaborative team responsible for the end-to-end development of our Android applications and the long-term vision of Squarespace on mobile devices. This role reports to our Engineering Manager in New York City.

RESPONSIBILITIES
Mentor software engineers at varying levels of experience
Prototype new app and feature ideas and explore new technologies that are at the forefront of mobile technology
Collaborate across disciplines with team members representing product, design, web development, and server side engineering
Maintain apps, listen to community and fix issues that arise
Design and implement new features, create UI, debugging, data modeling
QUALIFICATIONS
4+ years of experience in Android development
Expertise in Git, Java, Android SDK, and API design
Strong understanding of interactive application development paradigms, memory management, network programming, and concurrency
Experience with RxJava or other reactive programming styles, MVVM, JavaScript, or Python is a plus
Have published one or more applications in the Google Play Store or other marketplaces
Experience mentoring other engineers, and the desire to lead
ABOUT SQUARESPACE

Squarespace empowers people with creative ideas to succeed. By blending elegant design and sophisticated engineering, we empower millions of people from individuals and local artists to entrepreneurs shaping the worlds most iconic businesses to share their stories with the world. Squarespaces team of more than 800 is headquartered in downtown New York City, with offices in Dublin and Portland. For more information, visit www.squarespace.com/about.

PERKS
Health insurance with 100% premium covered
Flexible vacation & paid time off
Equity plan
401(k) plan with employer match
Free lunch and snacks
Dog-friendly workplace
Today, more than a million people around the globe use Squarespace to share different perspectives and experiences with the world. Not only do we embrace and celebrate the diversity of our customer base, but we also strive for the same in our employees. At Squarespace, we are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, or veteran status. We are proud to be an equal opportunity workplace."
Agile Lead Applications Developer,UPS,"Agile Lead Applications Developer

We’re the obstacle overcomers, the problem get-arounders. From figuring it out to getting it done… our innovative culture demands “yes and how!” We are UPS, and we are seeking a dynamic Lead Applications Developer. If you're looking for an exciting technology opportunity to work for a Fortune 50 industry leader, we want to hear from you!

Our Application Development teams use their expertise in programming languages and software design to develop next-generation technology. They are responsible for developing the applications which track and move up to 38 million packages in a single day (4.7 billion annually). This team works closely with all of our customers to build innovative technologies that are customized to drive our business and provide the ultimate customer experience. As an App Developer, you will help UPS grow and provide valuable services across the globe.

The Lead Applications Developer provides leadership in full systems life cycle management (e.g., analyses, technical requirements, design, coding, testing, implementation of systems and applications software, etc.) to ensure delivery is on time and within budget. He/She directs component and data architecture design, technology planning, and testing for Applications Development (AD) initiatives to meet business requirements and ensure compliance. This position develops and leads AD project activities and integrations. He/She guides teams to ensure effective communication and achievement of objectives. This position researches and supports the integration of emerging technologies. He/She provides knowledge and support for applications’ development, integration, and maintenance. This position will lead junior team members with project related activities and tasks. This position guides and influences department, project teams, and facilitates collaboration with stakeholders. The Lead Applications Developer will provide direction, monitor team member activities, analyze requirements and validate appropriate solutions have been designed. He/She will also provide technical guidance to application team. The ideal Applications Developer will have .net experience on an enterprise level application, provide team performance feedback, hold team accountable to deliverables, and coach others to improve performance. 

Responsibilities and Duties
Provides leadership in full systems life cycle management
Directs component and data architecture design, technology planning, and testing for Applications Development (AD) initiatives to meet business requirements and ensure compliance
Develops and leads AD project activities and integrations
Guides teams to ensure effective communication and achievement of objectives
Researches and supports the integration of emerging technologies
Provides knowledge and support for applications’ development, integration and maintenance
Guides and influences department, project teams and leads junior team members
Facilitates collaboration with stakeholders
Provides team performance feedback, holds team accountable to deliverables, and coaches others to improve performance
Knowledge and Skills
Advanced experience with Agile Development and C#
Expert-level proficiency with ASP.NET
Advanced leadership skills, research skills and technical skills
Visual Studio.Net
JAVA Script
SQL Server
Must have experience with Agile/Scrum concepts
Must have experience developing and supporting ASP.NET applications
Mongo DB - Preferred
Cloud - Preferred
Master's Degree in Computer Science or related field - Preferred
UPS is an equal opportunity employer. UPS does not discriminate on the basis of race/color/religion/sex/national origin/veteran/disability/age/sexual orientation/gender identity or any other characteristic protected by law"
Pre-Sales Engineer,DemystData,"Our Solution

Demyst is an External Enterprise Data Platform, used by major US and APAC financial institutions to better discover, test, and deploy third party data solutions. Leading banks and insurers leverage our platform to find and test new data to incorporate into decision processes across the customer lifecycle.

The Challenge

In this BRAND NEW role you will get to be a pioneer Demystdata in the hyper growth stage to deliver and lead pre-sales activity in support of new and existing clients. Top skills are presentation, customized demo's, ability to read/troubleshoot code, knowledge of predictive analytics, financial services like banking or insurance, consumer data, and/or commercial data.

The role accelerates new business growth through demonstration, problem solving, and articulation of our data access and integration solution offerings. This role bridges the gap between our technology and our clients' challenges in order to develop, customize, present, and sell our leading solutions. This position is charged with developing a thorough understanding of our prospects and customers’ business needs and effectively communicating and translating those into solutions which align to DemystData's offering.

The right candidate will have a broad range of skills including the ability to present technical solutions, strong problem solving skills, and superior written, verbal, and effectively communicate solutions to clients. A top performer will thoroughly understand both our clients' problems and our technology for customer value and help our sales organization reach targets.

Reports to: VP, Global Solutions

Location: New York City

Key areas of responsibility:
Support sales team in selling efforts while fostering strong relationships with prospective and existing clients
Align presales activities such as demonstrations, workshops and proof of concepts within a sales process
Understand the principles of client engagement and implementation for clear handoff to Customer Success
Customize demonstrations, workshops and events in support of client or sales activities
Support marketing and sales events as planned
Demonstrate passion for working with others (both internal and external)
Assist and provide Product Managers with feedback from clients and prospects about product requirements and big ideas to help continue product innovation and promote sales efforts for company growth.
Requirements

Requirements:
Four year degree from an accredited university
Minimum 3-5 years experience in pre-sales or solution architect role with and enterprise software firm
Experience with Integration and Data concepts
Experience creating strategic account plans, POC documents and presentations
Knowledge of at least one programming language (SQL, Python preferred)
Experience working and supporting a sales organization within a technical or consultative role
Benefits
Put your own mark on the process
Stretch yourself to help define and accelerate something entirely new that will impact billions
Gain exposure to a company that has more institutional knowledge in emerging “big data” access that perhaps anyone in the market, learn quickly
Dynamic day to day, cross-functional with sales, client delivery, engineering, and clients
Be with the client solving problems, not filling in forms
Small enough where you matter, big enough to have the support to deliver what you promise
Generous benefits & competitive compensation
Free coffee, bright open work space located by Madison Square Park
Results-focused, flexible work culture"
Senior Full-Stack Software Engineer,Turbonomic,"By 2020, 83% of enterprise workloads will be in the cloud. This transformation introduces an ever-increasing set of complex tradeoffs for IT staff, such as whether to place workloads on-premises or public cloud, when and how to scale up or scale out workloads, and what resources to allocate without overprovisioning. To de-risk this transformation, IT organizations are turning to self-managing and real-time workloads. With 10+ patents on our technology, Turbonomic is the only platform that enables enterprises to prepare their businesses for the cloud and answers the most complex IT challenges they face.

Were the leader in workload automation for hybrid cloud and transforming the way IT operates. We want the brightest and most driven individuals who are looking to steer the future of technology. If you thrive in a team-based environment where intellectual curiosity and willingness to go the extra mile without giving up are in your DNA, we want to hear from you!

As a full-stack software engineer, you will directly impact the next-generation of our product. You will play an active role in the design and development of new features and improvements to our existing UI (HTML5, Angular, D3 based stack), positively impacting our top customers.
Turbonomic will present you with constant challenges where you can apply your ideas to real functionality and process. Youll have the ability to grow your experience and explore new technologies within a culture that is overflowing with mentorship and cross-team collaboration.
What you'll be doing:
Work within one of our product engineering teams to develop new features and be the embedded full-stack expert.
You will develop and design the user interface of our platform, while also contributing to back-end services.
Improve the quality, performance, and stability of frontend codebases.
Collaborate closely with designer, engineering and product teams to create the best experience for our customers.
Create breathtaking interfaces, focusing on driving customer engagement through coherent and elegant user experience.
What you'll bring:
5+ years of experience building customer-facing applications in a professional setting
Degree in a related field or equivalent practical experience.
Understand the intricacies of how JS and CSS impact rendering.
Server-side experience (Java, C++ or similar) and proficiency with JavaScript.
Experience with software engineering methodologies (e.g. unit testing, code reviews, design documentation)
Expert in all aspects of HTML5 and single-page web-apps and frameworks.
Passion for writing clean, effective code
Ability to thrive in dynamic, fast-paced environments where passion for customer engagement and great experience are at the forefront of all design & development.
Interest or Familiarity with Cloud technologies
Benefits & Perks:
Health, dental and vision coverage health is a #1 priority here also, eat your fruit!
Career advancement jump in, make an impact and shape your career
Unlimited Paid Time Off visit mom, see a doctor or travel the world must take pictures
Pre-tax benefits: Medical, Dependent Care, Commuter, 401k
Access to executives no doors are closed, collaborate with them and make friends
Beer Fridays, unlimited snacks, cold brew coffee physiological needs, check.
Game rooms play a round of billiards, ping pong or game on Xbox
Turbonomic delivers enterprise organizations with automation software that enables on-premises and public cloud to self-manage in real-time, thereby assuring performance while lowering cost and maintaining compliance with business policies. The Turbonomic platform matches workload demand to infrastructure supply, helping customers maintain a continuous state of application health. Serving customers since 2010, Boston-based Turbonomic is one of the fastest growing technology companies, trusted by thousands of enterprise organizations to activate their hybrid cloud journey. Turbonomic was recently named a Forbes Cloud 100 Company, a CRN Tech Innovator of the Year in 2017 and #1 Cloud Management Platform by IT Central Station. Come make an impact with us."
Full Stack Engineer (Java),adMarketplace,"At adMarketplace, we create best of breed advertising technology using cutting-edge microservice architectures with millisecond response time and crunch through terabytes of data every day. The ideal candidate is motivated designing for massive scale, developing for low latency and will be part of a small highly talented team responsible building adMarketplace reporting and data applications. Our team uses cutting edge software, including Java, Scala, RabbitMQ, AWS, NoSQL and more.

Responsibilities:
Work with different teams across the organization to take projects from business requirements through design to full-stack implementation
Scale, design, refactor and improve the core components of UI, reporting and data applications
Solve complex technical challenges related to low latency large scale distributed systems
Build, test, integrate and release using Continuous Integration and Delivery processes
Requirements:
BS in Engineering, Computer Science or related discipline
Must have 4+ years industry related development experience using Java and front end technologies
Proficient understanding of Spring framework (or another dependency injection framework)
Proficient understanding of web markup, including HTML5, CSS3, JavaScript
Good understanding of software development principles, data structures, algorithms, and algorithmic complexity/simplicity tradeoffs
Familiarity and hands-on experience with profiling, code efficiency and testing/release concepts
Experience SQL and AWS services including EC2, S3, CodeDeploy and CloudFormation
Experience working in a Linux environment
Excellent communication, documentation, and troubleshooting skills
Ability to work independently with minimal supervision
Is a plus:
Digital advertising industry experience
Experience with RabbitMQ, MySQL, Vertica, and Aerospike
Experience with IOS and Android mobile application development
Experience with Scala or PHP development
Experience working in an agile software development team using Jira
Experience with Continuous Integration and Delivery"
Senior Desktop Engineer,Xantrion,"Since 2000, continued growth has hastened our need for senior desktop engineers. This information technology position is based in the Tri-State area, and is ideal for people who are ready to be challenged by real world applications and want to develop their system administrator skills. As part of our service team you will go onsite in Manhattan with customers as needed, and resolve email support requests in a timely manner. Two years from now, you will look back and discover you have taken your senior desktop engineer skills and success to the next level.

Required Technical Support Experience and Qualifications
5 to 10 years of technical support or 1 - 2 years junior system administrator experience.
Authorization to work in the U.S.
Exceptional communication skills.
Knowledgeable about current Microsoft Office Suites.
Familiar with backup technologies (VEEAM, Crashplan, etc.)
Familiar with anti-virus technologies (AV Defender, etc.)
Familiar with software deployment technologies (ghost, repackaging tools).
Knowledgeable about basic networking (TCP/IP, DNS, routing, subnetting).
Familiar with remote access technologies (VPN, dial-up, terminal services).
Knowledgeable about current Microsoft Windows operating systems.
Desired Technical Support Experience and Qualifications
4 year Bachelor's degree.
Relevant certifications (MCP, CCNA, etc.)
Experience in customer service.
Benefits
Salary commensurate with senior desktop engineer experience.
100% of medical, dental, vision for you and your family, 80% covered for Kaiser.
401K with company match up to 4% of salary.
17 days/year PTO.
Certification and training reimbursement.
Bonuses for referring new clients or employees.
If you're among the best of the best and ready to take your senior desktop engineer career to the next level, apply today."
Senior Customer Implementation Engineer,"IPC Systems, Inc.","IPC is a global provider of mission-critical network services and trading communication technology to the financial markets community. With complete focus on this sector and over 40 years of expertise, IPC provides customers with integrated solutions that support traders and participants across the entire trade lifecycle, including sell-side and buy-side financial institutions, inter-dealer brokers, liquidity venues, clearing and settlement firms, independent software vendors, corporate finance departments, financial information exchange providers and market data providers. IPC’s offerings include a unified communications/application platform, award-winning trading positions, managed voice and data connectivity solutions, compliance technologies, infrastructure management and a suite of enhanced service offerings.

IPC’s global reach extends to more than 60 countries – including a network of 5,000 customer sites over 700 cities and an installed base of approximately 120,000 trading positions deployed worldwide. Headquartered in Jersey City, New Jersey, IPC has over 900 employees located throughout the Americas and the EMEA and Asia-Pacific regions. IPC’s mission is to continually innovate to support collaboration across the global financial community and address our clients’ needs in an ever-changing landscape. For more information, visit www.ipc.com.

Brief Description
The Lab Engineer will be responsible to support activities related to the deployment of its Unigy platform in customer engineering lab. These activities include creating, developing, and executing test plans to validate integration of Unigy platform in customer’s technical environment, including integration with voice recording, IP telephony, and CTI applications. The position will be based in New York City, and report to the Global Services Manager for the Managed Services engagement.

Detailed Description


Role and Responsibilities
Develop and execute test plans. Optimize integration test plans leveraging other product specific test plans.
Automate through scripting solutions.
Support ancillary test plans for validation of monitoring, capacity planning, systems availability monitoring, security support tools and utilities.
Write technical documentation and low level designs to capture as-built configuration of infrastructure.
Collaborate with infrastructure support teams.
Evaluates future technologies and makes recommendations for hardware and software upgrades.
Partner with cross-functional teams in the Managed Services engagement, including Customer Engineer, Technical Support, Service Management, and Sales to ensure seamless high-touch, superior support to IPC’s customer.
Review issue resolution with teams to foster improved internal communication and understanding of fault identification and troubleshooting techniques.
Coordinate changes and routing maintenance with customer stakeholders.
Provide support for technical investigation of incidents and problems.
Review key operational processes and procedures to ensure ITIL best practices are adhered to, implement changes as required.
Communicate events to stakeholders, including Global Service Director.
Provides technical guidance and mentoring to other lab engineers on subject matter expertise.
Ensure appropriate level of customer communication. Participate in book of work planning meetings.
Manage risks associated with scheduling challenges.
Listen and anticipates customer’s questions and react
Job Requirements


Candidacy Requirements
Engineering degree or equivalent is required with experience writing and executing test plans.
Ability to be self-sufficient and work independently
Excellent organizational skills, written-verbal technical communication.
Must demonstrate interpersonal skills necessary to work within a team environment and communicate effectively across a variety of geographically dispersed resources.
Experience with IT Infrastructure technologies, VoIP Telephony technologies. Deep technical understanding of IPC Unigy 3.1.x.x voice products and services.
Technical skills with Bluewave and API scripting
Methodical troubleshooting skills
SIP certification that covers VOIP path end to end, through PSTN and IP PBXs, via SBCs and proxies.
Ability to read Wireshark traces for Unigy traffic.
High energy, motivated engineer with proven experience in process improvements and automation.
Demonstrable commitment to quality and customer service
Advanced skills with Microsoft Excel, PowerPoint, Project, and Visio.
Additional Details
IPC offers Medical, Dental, Vision, Life Insurance and Accidental Death and Dismemberment, Long and Short Term Disability, 401(k), Flexible Spending Accounts, Pre-tax Commuter Program, Employee Assistance Program, Aflac, Tuition Reimbursement, Vacation/Personal/Sick Days.

Due to the great number of applications we receive for each of our open vacancies, we are unable to respond on an individual basis.



To all recruitment agencies:　IPC does not accept unsolicited Resumes. Please do not forward Resumes to any IPC employee, location or website. IPC is not responsible for any fees related to unsolicited Resumes.

How To Apply
Country United States
United States
Exempt or Non-exempt exempt
exempt
Amount of Travel
Work At Home"
Senior Site Reliability Engineer,Harrison Clarke International,"Harrison Clarke has partnered with a very exciting analytics company based in the heart of New York. The company are looking for a senior engineer to help them build and scale their infrastructure. They are in need of an individual who has understanding of high performance, scalable architectures and technologies.
Responsibilities
Create reproducible infrastructure via a variety of modern technologies such as Kubernetes, Docker, and Terraform
Responsible for the architecture, deployment, and support of a Continuous Integration and Continuous Deployment strategy
Scaling of software and infrastructure to accommodate continuous growth
Writing Chef cookbooks and recipes
Requirements
4+ years of experience in web development and operations
Experience with continuous integration, continuous deployment testing and automation tools (Jenkins, Git, GitHub or Bitbucket)
Good level of fluency in English (spoken, written)
Strong communication skills - able to work effectively with technical and non-technical teammates
Technology Stack
Experience with configuration management tools such as Chef, Puppet, or Ansible
Experience with Linux
Scripting and programming languages (Python, Ruby, PorwerShell, PHP)
Incentives
Great health / dental / vision insurance
401k
Summer hours, paid vacation and more
No Visa sponsorship available for this position.
By applying and submitting your resume, contact details and any other personal information, we will process your personal data in accordance with our Privacy Policy. For more information on our Privacy Policy, please click here: https://www.harrison-clarke.com/privacy-policy/"
Software Engineer,Amplify,"Amplify builds innovative and compelling digital educational products that empower teachers and students across the country. We have a long history as the leading innovator in K-12 education - and have been described as the best tech company in education and the best education company in tech. While others try to shrink the learning experience into the technology, we use technology to expand what is possible in real classrooms with real students and teachers.

Amplify works with educators across the country - and about 2 million students. Although we’re a technology company, we don’t believe that our work is over the moment a teacher has a new software license. Instead, it’s just beginning - we work side-by-side with educators and school leaders, fitting our products into the lived reality of classrooms and schools.

As an engineer at Amplify, you will join a talented team tackling the toughest problems in education with the best ideas in technology – including user experience, light gaming, APIs and services, data analysis, and deployment pipelines. You’ll play an active role in imagining and improving product design and the classroom experience.

We hire engineers “for the slope, not the intercept” – we’re looking for intellectual ability, flexibility and ability to learn, and commitment to work together in tight-knit teams.

What You’ll Do
Impress the toughest customers around – kids! – by:
building engaging, quirky, fast frontends using frameworks like React
Make life better for passionate, overworked teachers by:
meeting the ultimate reliability and uptime challenge for digital tools – is this better than paper?
building well structured and documented RESTful APIs so that our apps can share data with ease
shipping code from your laptop to classrooms frequently and confidently
Help school administrators build great schools by:
building data pipelines that respect privacy and ensure security while offering useful insights
implementing code that runs great across platforms under variable memory and network constraints
analyzing performance and squashing tricky bugs using tools like New Relic, Splunk, Alert Logic, and AWS CloudWatch
Learn every day by:
collaborating, pull request-ing, and mentoring on a cross-functional team
participating in cross-team share-outs, brownbags, and workshop series
Example Projects You Might Work On
Crafting immersive animated environments and characters using the latest web and canvas frameworks
Architecting algorithms to select the right activity for the right student at the right moment.
Crunching data from student activities to show teachers just the right advice
Simulating hundreds of thousands of kids to implement scaling, stability, and security improvements
Improving our deployment and testing automation pipelines
You Must Have
BS/MS in Computer Science, Game Development or equivalent
2+ years of professional software development experience
Strong CS and software engineering fundamentals
Proven fluency in at least two of JavaScript, C#
Strong communication skills in writing, conversation, and maybe silly gifs
Extra Credit For
Experience with tools we use every day:
Front-end frameworks: React, Unity, the next thing that will replace them all
Back-end frameworks: Nodejs Express, Python-based
Tools and systems: Git, bash, linux
Experience in AWS toolchains and devops
Proven passion for building and learning: open source contributions, pet projects, self-education, Stack Overflow
Experience in education, ed-tech, or gaming
Amplify is an Equal Opportunity Employer of Minorities, Females, Protected Veterans and Individuals with Disabilities.

This position may be funded, in whole or in part, through American Recovery & Reinvestment Act funds.

Amplify Education, Inc. is an E-Verify participant."
Software Engineer - Data Platform,Blink Health,"About Blink

Blink Health is fixing how broken, opaque, and unfair healthcare is. We are a mission driven, well-funded healthcare technology company. Were changing healthcare through technology and transparency. With our proprietary technology, everyone now has access to the lowest prices on over 15,000 medications. But there is more work to do.

We are a continuously learning, curious, collaborative team dedicated to inventing new ways of working in an industry that historically has resisted innovation. We're assembling the experienced and talented team to get this done.

About The Team

Blink Engineering strives to build trusted, highly observable, quality software to bring affordable, accessible healthcare to all Americans. We understand healthcare is the most complex system most of us will ever fix. We believe in solving this complexity through the use of simple, well-known technologies. Become part of our collaborative team that believes in owning outcomes over owning code and putting patients at the center of everything we do.

The data team is a small team delivering impactful solutions. The team is responsible for building infrastructure, frameworks and tooling to enable data driven decisions. We also develop reports and dashboards to provide accurate and timely information to the whole company. We support product, marketing and business operations with recommendations and in-depth analyses. Our data platforms are built using tools available on AWS including Redshift, Data Pipeline, and Spark.

About the Role

In this role, you will collaborate closely with others in our engineering team, as well as other departments. You will also be working with external vendors and services. By developing and maintaining the foundational data layer, you will have a direct, visible, and profound effect upon a data-driven organization that is revolutionizing the way people pay for prescription medicine.

Here are some projects you might work on:
Design our next generation of data tools and frameworks in AWS
Develop and maintain data products and infrastructure
Analyze and optimize system for high performance
Develop a monitoring framework to maximize uptime
Onboard other software engineers who are participating in data rotations
Develop appropriate data models for landing, storing and merging data
Work with internal customers to develop optimized models and views for their needs
Guide analysts on high-quality, efficient SQL
Guide the rest of the organization on the best ways to use our data warehouse
Research, discover and prototype new technologies
In-depth analyses to unlock new value from data
About You

We all help each other on the team and know the tools of the entire data stack. The focus for this position will be software engineering the Data Platform. Where you have previously worked or gone to school isnt important to us. What do we care about?
You are comfortable in a dynamic, agile environment.
You have a core computer science background and some solid software engineering experiences. Yes, you will spend most of the time writing software engineering quality code.
You love to automate things.
You've got a good sense of systems architecture. If you have worked with AWS, that is a huge plus.
You have programmed in a scripting language. If its Python, great!
You know SQL.
You know what MapReduce is.
You understand Big Data principles, best practices and are genuinely interested in Big Data landscape.
You are interested in becoming a great data modeler.
You understand why business uses Business Intelligence Platforms.
We are an equal opportunity employer and value diversity of all kinds. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
Software Engineer,Klarna Group,"Klarna is one of Europe's fastest growing and most exciting financial technologies (FinTech) company valued at over $2.5bn and were growing by 40% a year. Here at Klarna we are striving to become the worlds favourite way to buy. It is a bold objective, but we are well on course to achieving it. Klarna is already operating in 18 markets and we plan to keep expanding. We serve 60 million consumers, work with 70 000 merchants and process more than a million transactions a day. We have some pretty heavy-weight investors including Visa, Sequoia Capital, Permira and Anders Povlsen. Unicorns a..."
Software Engineer,Transfix,"Transfix is changing the way companies view their supply chain. We are an award winning, recognized market and technology leader in the full truckload (FTL) market, which is a $420 billion market each year in the U.S. alone. We eliminate waste and solve inefficiencies through a deep understanding of the dynamics that exist today for the world's leading shippers and the millions of carriers and drivers that move their goods. We identify blind spots where data can fundamentally transform the way shippers and carriers work together, and we reduce the amount of empty miles driven by truckers with algorithms that match freight with trucks based on location in realtime. Our solution yields significant savings for shippers and increased pay for truck drivers. Ultimately, our mission is simple: to improve the lives of both shippers and carriers by creating a more efficient, transparent platform by which a product can be moved from anywhere to everywhere at anytime.

The problems we solve everyday are real and require creativity, grit, and determination. The culture we're building is one where we challenge the norms of the industry. The team we have is built on the foundation of personal growth, collaboration and experimentation.

Launched in August 2013, we have raised $78.5M in capital and are backed by top VC firms in NYC and San Francisco including, New Enterprise Associates (NEA), Canvas Ventures, Lerer Hippeau Ventures, Corigin Ventures, Founder Collective and Bowery Capital. We are headquartered in New York City.

As a Software Engineer, you'll be building world-class products that transform the lynchpin of our global economythe supply chain.

What you'll do:
Build core products that serve the unique needs of all the players in the freight transportation sectornational retail chains, trucking companies, dispatchers, and many more.
Scale our existing apps to new user types and capabilities.
Design and build our API.
Write tests (unit, integration, and end-to-end), and constantly seek to improve code quality.
Communicate clearly and directly with designers, product managers, and operations, both in the office and remotely.
About you:
You have a bachelor's Degree in Computer Science or similar field
You have at least 3+ years experience in building features in an agile environment
You're fluent in Java, C++, Python, and/or RoR
You create high quality code and advocate for best practices.
To all recruitment agencies: Transfix does not accept unsolicited agency resumes and will not be held responsible for any fees related to unsolicited resumes."
Software Engineer,Reaktor,"We’re looking for great engineers with diverse backgrounds. We need people that can fill hybrid roles with different emphases on the wide context of product development. We don’t have predefined positions: instead, we invite you to come talk to us about your skills, experience, ambitions, and dream role. We hope to find exceptional people to do exceptional work with us, and we believe it’s important that we define your role and path to our mutual growth together.
Reaktor is a hybrid partner for all things future. We reimagine businesses, and we design and build tomorrow’s digital products. Our full range of consultancy and agency services include expertise from high-level business consulting, to hands-on service and product design and development, to branding and marketing.
We believe in technology-agnostic product thinking, defined only by finding meaningful solutions to challenging problems. Your passion should be the same as ours: unmatched execution of those solutions. We structure, create, iterate, and reinvent, delivering tangible value faster than anyone in the world.
What we can offer you:
Hybrid, completely autonomous teams, filled with experts in everything from design, to data science, to business consulting, to content.
A community of amazing people who you will learn from and will learn from you.
Experimentation and continuous improvement of our skills and ways of working.
A dedication to constant evolution (and the occasional revolution).
A world without rigid hierarchy—big ideas can come from anyone and anywhere.
Endless fun!
What you’ll bring:
Exceptional technological competence.
Ability to make things, and to make things happen.
Compassion for people—both those around you, and those who will use what we build.
Drive to work on complex problems at any part of the project, from type system nuances to organizational dynamics.
A vision and commitment to the future of work: being truly lean and agile and human-centered, and leaving yesterday’s pointless rituals behind.
Readiness to be responsible for your work, development, and career path. Don’t worry: we’ll have your back in whatever you want to achieve, but the end goal is yours to define.
6+ years of real-world experience in building digital products and services.
Authorization to work in the United States.
Think Reaktor sounds like home? Great. Introduce yourself via our careers page.
We invite you to share details of any open source projects, your GitHub profile, and most importantly, your personality. Be original, not official.
We are an Equal Employment Opportunity (EEO) employer and do not discriminate on the basis of race, color, national origin, religion, gender, age, veteran status, political affiliation, sexual orientation, marital status or disability."
Software Engineer,33Across,"The Role:
33Across is seeking an experienced software engineer to join our team in expanding our current publisher platform and building innovative products for the mobile web. Our products are already generating 250 million daily events and are experienced by over 13 million daily users. This position will be instrumental in driving these numbers to unprecedented heights as we grow our publisher base and increase user reach and engagement across all platforms.

You will have the opportunity to work on the companys core product suite that drives revenue for our publishers and us. We are looking for engineers who have a passion for building scalable products, strong software design skills, and a desire to learn from, mentor, and teach your peers.

You Will:
Implement real-time, high-performance web applications for desktop and mobile.
Architect elegant, maintainable, testable solutions to complex technical problems.
Integrate with third-party platforms and services to pull in auxiliary content, services, and data.
Tackle performance bottlenecks and drive improvements to our backend and frontend infrastructure.

You Have:
2+ years of experience in software development, leveraging modern technology stacks and preferably experience of backend and/or full-stack work building highly scalable, distributed systems.
Fluent in at least one of the following languages/frameworks: Java, Node.js, Python, Ruby on Rails.
Working experience with databases such as MySQL or Redis.
Good understanding of front-end technology and platforms, such as JavaScript.
Good understanding of design patterns, object-oriented programming, and asynchronous and event-driven development.
Well-versed in testing methodologies (TDD, BDD).
Comfortable with Linux CLI, one or more scripting languages, and SQL.
Bachelors Degree in Computer Science or equivalent.
Bonus Points:
Experience with working or building a CI/CD model.
Strong understanding of agile methodologies and DevOps.
Fluent in JavaScript.
Experience with Big Data (we use Cloudera's Hadoop distribution).
Experience in application security and data protection.
Experience with application containerization such as Docker.
Experience with cloud technology such as AWS.
Experience with working with remote teams.

What We Can Offer You:
We have a distributed team with primary work locations in New York City and the Bay Area. We offer a fun work environment with smart coworkers and generous perks. Perks include unlimited snacks/drinks, weekly lunch, team outings, holiday celebrations, and annual hack­a­thons.

Oh Yeah, We Also Offer All The Usual Stuff Too:
Competitive salary, bonus structure, and equity
Health, dental, and vision benefits
401K match to help you save for the future
Real, tangible, paid time off
Paid maternity and paternity leave"
